source,target,before,after,delta
39,52,0.4227621610696743,0.42276217139036987,1.0320695575938288e-08
39,60,0.4436402019753284,0.44364025305601695,5.108068856785053e-08
39,73,0.4113856059059812,0.41138564642903014,4.0523048916440985e-08
40,19,0.410202069012413,0.410202069012413,0.0
40,27,0.4218103041812737,0.42181030418127374,5.551115123125783e-17
40,32,0.4272545399876181,0.4272545399876181,0.0
40,35,0.41608325470630864,0.4160832547063535,4.4853010194856324e-14
40,48,0.40334236753318264,0.4033423675332063,2.3647750424515834e-14
40,53,0.3945315479029493,0.3945315479029493,0.0
40,61,0.41620719963501146,0.4162071996350207,9.2148511043888e-15
40,74,0.42815265387776114,0.42815265387776325,2.1094237467877974e-15
41,20,0.4222755524738122,0.4222755524747346,9.2237328885858e-13
41,28,0.41400717139277926,0.4140071713928625,8.326672684688674e-14
41,33,0.4200596295518017,0.4200596295550645,3.2627789359196413e-12
41,36,0.4113887562779734,0.41138875627803095,5.756506382681437e-14
41,49,0.40384225258926776,0.4038422525892828,1.504352198367087e-14
41,54,0.4280994720989157,0.4280994721018854,2.9697355685698312e-12
41,62,0.4097005029699955,0.40970050297012994,1.3444800828210646e-13
41,75,0.40620766438403516,0.40620766438736117,3.326006137172044e-12
42,21,0.3945482713397108,0.39454828588496266,1.4545251836306505e-08
42,29,0.4214156773163751,0.42141568222754466,4.911169582122454e-09
42,34,0.41078065373438355,0.410780683737819,3.0003435458336725e-08
42,37,0.43223945236938216,0.43223945360751503,1.2381328740040942e-09
42,50,0.3873563443467585,0.3873563489324987,4.585740231988211e-09
42,55,0.40616589167487055,0.4061659719539888,8.027911824193268e-08
42,63,0.4247202851507087,0.42472032346516764,3.8314458938870644e-08
42,76,0.419679226073283,0.41967935823462066,1.3216133765148186e-07
43,22,0.42771032171013607,0.42771032267158243,9.614463669649354e-10
43,30,0.3899859252132416,0.389985934458541,9.245299414928354e-09
