brain,repetition,cue,experience_strength_sum,experience_strength_mean
1,96,F,278.10886942315346,1.158786955929806
1,96,A,248.36219367994755,1.034842473666448
1,97,A,249.48476340731872,1.0395198475304948
1,97,F,278.0409515661403,1.158503964858918
1,98,F,279.54632632976194,1.1647763597073415
1,98,A,249.36810329300476,1.039033763720853
1,99,A,250.48212203244418,1.0436755084685174
1,99,F,279.4657216404499,1.164440506835208
1,100,F,280.958974513425,1.1706623938059375
1,100,A,250.34775305635924,1.04311563773483
1,101,A,251.45772085784512,1.0477405035743546
1,101,F,280.8703946709542,1.170293311128976
1,102,F,282.35495659528414,1.176478985813684
1,102,A,251.30621004157527,1.0471092085065636
1,103,A,252.40548117642714,1.0516895049017798
1,103,F,282.25071134953316,1.1760446306230548
1,104,F,283.71889195268744,1.1821620498028644
1,104,A,252.2455489114905,1.0510231204645437
1,105,A,253.33422578836542,1.0555592741181892
1,105,F,283.5960030718761,1.1816500127994838
1,106,F,285.0601948401685,1.1877508118340354
1,106,A,253.1720630911691,1.0548835962132046
1,107,A,254.25148886305266,1.0593812035960528
1,107,F,284.9323444224116,1.1872181017600483
1,108,F,286.37863085038424,1.1932442952099342
1,108,A,254.07183023110892,1.058632625962954
1,109,A,255.14366537094304,1.0630986057122627
1,109,F,286.22675965890426,1.1926114985787677
1,110,F,287.66606719766463,1.1986086133236027
1,110,A,254.95216393834497,1.0623006830764374
1,111,A,256.02044501494635,1.0667518542289431
1,111,F,287.4888883658275,1.197870368190948
1,112,F,288.93325573472487,1.2038885655613536
1,112,A,255.82112448216176,1.0659213520090074
1,113,A,256.8734145031888,1.0703058937632868
1,113,F,288.7283184294745,1.2030346601228104
1,114,F,290.17553161144923,1.2090647150477052
1,114,A,256.66110101810796,1.0694212542421164
1,115,A,257.713126410547,1.0738046933772791
1,115,F,289.9507774238617,1.2081282392660906
1,116,F,291.385383431132,1.2141057642963835
1,116,A,257.4929506260543,1.0728872942752263
1,117,A,258.5367168417428,1.0772363201739283
1,117,F,291.1415162273464,1.2130896509472768
1,118,F,292.55742188987904,1.218989257874496
1,118,A,258.306360209572,1.0762765008732167
1,119,A,259.34020745528437,1.0805841977303516
1,119,F,292.2976651003032,1.2179069379179301
1,120,F,293.704398528841,1.2237683272035043
1,120,A,259.1030823986563,1.0795961766610678
1,121,A,260.12147810470924,1.0838394921029553
1,121,F,293.4224092224024,1.22259337176001
1,122,F,294.80807538655046,1.2283669807772937
1,122,A,259.86122989802334,1.0827551245750973
1,123,A,260.86376173037826,1.0869323405432427
1,123,F,294.51263261586496,1.2271359692327706
1,124,F,295.90248699271376,1.2329270291363073
1,124,A,260.6002063264832,1.0858341930270135
1,125,A,261.59389841643184,1.0899745767351328
1,125,F,295.5867256523169,1.2316113568846536
1,126,F,296.96011477615417,1.2373338115673091
1,126,A,261.3207684697122,1.0888365352904676
1,127,A,262.30924106332,1.0929551710971666
1,127,F,296.6408422708636,1.2360035094619315
1,128,F,298.0111609780319,1.2417131707417997
1,128,A,262.02617817901313,1.0917757424125547
1,129,A,263.00671754180166,1.0958613230908403
1,129,F,297.6769556982232,1.2403206487425966
1,130,F,299.0356582086189,1.2459819092025788
1,130,A,262.7063063891621,1.094609609954842
1,131,A,263.68072487158645,1.0986696869649435
1,131,F,298.6961879171094,1.2445674496546224
1,132,F,300.0470394287675,1.2501959976198647
1,132,A,263.36614091362037,1.0973589204734182
1,133,A,264.33387994160853,1.1013911664233689
1,133,F,299.70321237915726,1.2487633849131552
1,134,F,301.04687171817324,1.2543619654923885
1,134,A,264.0127883879503,1.100053284949793
1,135,A,264.97453967297207,1.104060581970717
1,135,F,300.69489506384264,1.2528953960993443
1,136,F,302.0323332141219,1.2584680550588412
1,136,A,264.6414846779701,1.1026728528248753
1,137,A,265.60440413319924,1.1066850172216636
1,137,F,301.6843069010685,1.2570179454211188
1,138,F,303.00277208766795,1.262511550365283
1,138,A,265.2640028913019,1.105266678713758
1,139,A,266.22059120846546,1.109252463368606
1,139,F,302.6425610927952,1.26101067121998
1,140,F,303.94819891070466,1.2664508287946028
1,140,A,265.8686503352866,1.107786043063694
1,141,A,266.82183297307427,1.1117576373878095
1,141,F,303.5882513652786,1.2649510473553276
1,142,F,304.88227059346855,1.2703427941394523
1,142,A,266.4551682024918,1.1102298675103826
1,143,A,267.3975022599633,1.1141562594165138
1,143,F,304.5138494513192,1.2688077060471632
1,144,F,305.79298460315874,1.2741374358464947
1,144,A,267.0192625738141,1.1125802607242254
1,145,A,267.95489188790583,1.1164787161996077
1,145,F,305.4098860906091,1.2725411920442047
1,146,F,306.6879952514972,1.2778666468812385
1,146,A,267.5744932246471,1.1148937217693629
1,147,A,268.504504523146,1.1187687688464416
1,147,F,306.295877734061,1.2762328238919207
1,148,F,307.5726512979745,1.2815527137415605
